Precio,Titulo,Ubicacion,Enlace,Titulo_Limpio,Precio_Num,Categoria,Marca,Producto,Modelo,Estado,Segmento,Distrito_Limpio
S/350,pantalla original redmi note 13 pro plus 5g(como repuesto),"san juan de miraflores, lm",https://www.facebook.com/marketplace/item/900848239261346/,pantalla original redmi note 13 pro plus 5g(como repuesto),350,Dispositivos móviles,Xiaomi,Smartphone,Redmi Note 13 Pro,Para Repuesto/Roto,Económico,San Juan De Miraflores
S/3.350,iphone 16 pro max 256gb | batería 100% | impecable,"villa maría del triunfo, lm",https://www.facebook.com/marketplace/item/1253184540039343/,iphone 16 pro max 256gb | batería 100% | impecable,3350,Dispositivos móviles,Apple,Smartphone,iPhone 16 Pro Max,Usado/Como Nuevo,Estándar,Villa María Del Triunfo
S/90,huawei y9a,"ancon, lm",https://www.facebook.com/marketplace/item/2115199902347867/,huawei y9a,90,Dispositivos móviles,Huawei,Smartphone,Huawei,Usado (No especificado),Económico,Ancon
S/620,medios rango en la marca dannel audio,"san juan de miraflores, lm",https://www.facebook.com/marketplace/item/880650498120001/,medios rango en la marca dannel audio,620,Equipos de sonido,Otro/Genérico,Parlante,Otro,Usado (No especificado),Económico,San Juan De Miraflores
S/3.200,vendo mi laptop lenovo core i7,"ventanilla, lima, peru",https://www.facebook.com/marketplace/item/931946432838550/,vendo mi laptop lenovo core i7,3200,Laptops/PC,Lenovo,Laptop,Lenovo,Usado (No especificado),Estándar,Ventanilla
S/550,samsung galaxy a35 5g,"santiago de surco, lm",https://www.facebook.com/marketplace/item/1385376666406487/,samsung galaxy a35 5g,550,Dispositivos móviles,Samsung,Smartphone,Galaxy A,Usado (No especificado),Económico,Santiago De Surco
S/240,lapto lenovo i5 leer,"villa maría del triunfo, lm",https://www.facebook.com/marketplace/item/1262238819181535/,lapto lenovo i5 leer,240,Otros,Otro/Genérico,Genérico,No identificado,Usado (No especificado),Económico,Villa María Del Triunfo
S/1.500,"xbox serie s ,negro con tarjeta interna de 1tb ssd, incluido un mando original, perfecto estado","villa el salvador, lm",https://www.facebook.com/marketplace/item/2941704402700258/,"xbox serie s ,negro con tarjeta interna de 1tb ssd, incluido un mando original, perfecto estado",1500,Consolas/Realidad Virtual,Otro/Genérico,Mando,Otro,Usado (No especificado),Estándar,Villa El Salvador
S/170,samsung a05,"independencia, lm",https://www.facebook.com/marketplace/item/775685312244939/,samsung a05,170,Dispositivos móviles,Samsung,Smartphone,Galaxy A,Usado (No especificado),Económico,Independencia
S/3.299,iphone 15 pro max 256gb,"la victoria, lm",https://www.facebook.com/marketplace/item/3718764431586863/,iphone 15 pro max 256gb,3299,Dispositivos móviles,Apple,Smartphone,iPhone 15 Pro Max,Usado (No especificado),Estándar,La Victoria
S/450,vendo iphone,"lurin, lm",https://www.facebook.com/marketplace/item/4124957294481718/,vendo iphone,450,Dispositivos móviles,Apple,Smartphone,iPhone,Usado (No especificado),Económico,Lurin
S/650,redmi note 13 pro 256gb 8ram,"san martín de porres, lm",https://www.facebook.com/marketplace/item/918183407536198/,redmi note 13 pro 256gb 8ram,650,Dispositivos móviles,Xiaomi,Smartphone,Redmi Note 13 Pro,Usado (No especificado),Económico,San Martín De Porres
S/670,equipo de sonido lg 1100w,"lima, lm",https://www.facebook.com/marketplace/item/1942314009745375/,equipo de sonido lg 1100w,670,Equipos de sonido,Otro/Genérico,Equipo de sonido,Otro,Usado (No especificado),Económico,Lima Centro
S/1.550,vendo o cambio iphone 14 plus 128gb,"lurin, lm",https://www.facebook.com/marketplace/item/913250111191415/,vendo o cambio iphone 14 plus 128gb,1550,Dispositivos móviles,Apple,Smartphone,iPhone 14 Plus,Usado (No especificado),Estándar,Lurin
S/3.650,vendo iphone 16 pro max,"chorrillos, lm",https://www.facebook.com/marketplace/item/1896731505051852/,vendo iphone 16 pro max,3650,Dispositivos móviles,Apple,Smartphone,iPhone 16 Pro Max,Usado (No especificado),Premium,Chorrillos
S/1.050,i7 14700,"ate, lm",https://www.facebook.com/marketplace/item/2135651323843491/,i7 14700,1050,Otros,Otro/Genérico,Genérico,No identificado,Usado (No especificado),Estándar,Ate
S/800,samsung a36,"san martín de porres, lm",https://www.facebook.com/marketplace/item/1646558866377113/,samsung a36,800,Dispositivos móviles,Samsung,Smartphone,Galaxy A,Usado (No especificado),Económico,San Martín De Porres
S/699,laptop hp envy ts 15 notebook pc,"ate, lm",https://www.facebook.com/marketplace/item/1649817039533723/,laptop hp envy ts 15 notebook pc,699,Laptops/PC,HP,Laptop,HP,Usado (No especificado),Económico,Ate
S/3.200,"samsung odyssey g8 oled 34"" curved","la victoria, lm",https://www.facebook.com/marketplace/item/1904911927569397/,"samsung odyssey g8 oled 34"" curved",3200,Componentes PC,Samsung,Monitor/Pantalla,Odyssey,Usado (No especificado),Estándar,La Victoria
S/55,monitor samsung 18 pulgadas,"lurin, lm",https://www.facebook.com/marketplace/item/791289923254035/,monitor samsung 18 pulgadas,55,Componentes PC,Samsung,Monitor/Pantalla,Odyssey,Usado (No especificado),Económico,Lurin
S/60,"cargador portátil de 10,000 ah","villa maría del triunfo, lm",https://www.facebook.com/marketplace/item/1314499510487340/,"cargador portátil de 10,000 ah",60,Energía y Adaptadores,Otro/Genérico,Cargador,Otro,Usado (No especificado),Económico,Villa María Del Triunfo
S/680,vendo honor 70 en perfectas condiciones 🌷,"bellavista, callao, peru",https://www.facebook.com/marketplace/item/1255922023302986/,vendo honor 70 en perfectas condiciones 🌷,680,Dispositivos móviles,Honor,Smartphone,Honor,Usado (No especificado),Económico,Bellavista
S/2.200,iphone 14 pro max de 256,"ate, lm",https://www.facebook.com/marketplace/item/1250472200341982/,iphone 14 pro max de 256,2200,Dispositivos móviles,Apple,Smartphone,iPhone 14 Pro Max,Usado (No especificado),Estándar,Ate
S/140,radio pioneer mixtrax,"ventanilla, lima, peru",https://www.facebook.com/marketplace/item/1467012585218163/,radio pioneer mixtrax,140,Equipos de sonido,Otro/Genérico,Radio,Otro,Usado (No especificado),Económico,Ventanilla
S/250,💥oppo a78 - dual sim 12 de ram💥,"san juan de lurigancho, lm",https://www.facebook.com/marketplace/item/1214981444101305/,💥oppo a78 - dual sim 12 de ram💥,250,Dispositivos móviles,Oppo,Smartphone,Oppo A,Usado (No especificado),Económico,San Juan De Lurigancho
S/350,samsung galaxy s21 fe,"san martín de porres, lm",https://www.facebook.com/marketplace/item/861584180209184/,samsung galaxy s21 fe,350,Dispositivos móviles,Samsung,Smartphone,Galaxy S,Usado (No especificado),Económico,San Martín De Porres
S/300,se vende play 2 solo un mes de uso con 2 controles,"mala, lm",https://www.facebook.com/marketplace/item/1250901927106210/,se vende play 2 solo un mes de uso con 2 controles,300,Consolas/Realidad Virtual,Sony,Consola,PlayStation,Usado (No especificado),Económico,Mala
S/280,equipo panasonic 5 en 1,"san juan de miraflores, lm",https://www.facebook.com/marketplace/item/2075801366487179/,equipo panasonic 5 en 1,280,Equipos de sonido,Panasonic,Sistema de sonido,Panasonic SC,Usado (No especificado),Económico,San Juan De Miraflores
S/120,vendo router mikrotik rb951 series nuevo cada uno a,"villa el salvador, lm",https://www.facebook.com/marketplace/item/1409533140951650/,vendo router mikrotik rb951 series nuevo cada uno a,120,Conectividad/Redes,Mikrotik,Router,Mikrotik,Nuevo/Sellado,Económico,Villa El Salvador
S/449,laptop hp ci5 de 8va gen 8gb de ram 500 hdd pantalla 15.6 pulgadas,"lima, lm",https://www.facebook.com/marketplace/item/1428876912015066/,laptop hp ci5 de 8va gen 8gb de ram 500 hdd pantalla 15.6 pulgadas,449,Laptops/PC,HP,Laptop,HP,Usado (No especificado),Económico,Lima Centro
S/250,honor x5 pluss,"los olivos, lm",https://www.facebook.com/marketplace/item/3127589770777130/,honor x5 pluss,250,Dispositivos móviles,Honor,Smartphone,Honor X5,Usado (No especificado),Económico,Los Olivos
S/3.000,vendo jbl 710,"san juan de lurigancho, lm",https://www.facebook.com/marketplace/item/10082792535178210/,vendo jbl 710,3000,Otros,Otro/Genérico,Genérico,No identificado,Usado (No especificado),Estándar,San Juan De Lurigancho
S/10.000,busco proveedor legal de iphone ! cuento con tienda física ! surco,"villa el salvador, lm",https://www.facebook.com/marketplace/item/788115920979379/,busco proveedor legal de iphone ! cuento con tienda física ! surco,10000,Dispositivos móviles,Apple,Smartphone,iPhone,Usado (No especificado),Premium,Villa El Salvador
S/120,"consola arcade r36s con más de 20.000 juegos , ps1, nintendo, psp, entre otros","villa el salvador, lm",https://www.facebook.com/marketplace/item/1361118034909184/,"consola arcade r36s con más de 20.000 juegos , ps1, nintendo, psp, entre otros",120,Consolas/Realidad Virtual,Nintendo,Consola,Nintendo,Usado (No especificado),Económico,Villa El Salvador
S/119,"cargador scooter xiaomi 5, 5 pro, 4 ultra","san miguel, lm",https://www.facebook.com/marketplace/item/747751208391562/,"cargador scooter xiaomi 5, 5 pro, 4 ultra",119,Energía y Adaptadores,Otro/Genérico,Cargador,Otro,Usado (No especificado),Económico,San Miguel
S/65,alexa,"la victoria, lm",https://www.facebook.com/marketplace/item/1800226524002911/,alexa,65,Parlantes inteligentes,Amazon,Parlante inteligente,Echo,Usado (No especificado),Económico,La Victoria
S/120,tv a reparar,"los olivos, lm",https://www.facebook.com/marketplace/item/893862976908781/,tv a reparar,120,Televisores,Otro/Genérico,Televisor,Otro,Usado (No especificado),Económico,Los Olivos
S/80,comunicador radio walkie talkie,"lince, lm",https://www.facebook.com/marketplace/item/33672895625658907/,comunicador radio walkie talkie,80,Dispositivos de radio,Otro/Genérico,Walkie Talkie,Otro,Usado (No especificado),Económico,Lince
S/100,baterías para carro,"san martín de porres, lm",https://www.facebook.com/marketplace/item/1241266331151880/,baterías para carro,100,Energía y Adaptadores,Otro/Genérico,Bateria,Otro,Usado (No especificado),Económico,San Martín De Porres
S/250,nintendo wii (con accesorios incluidos),"san juan de miraflores, lm",https://www.facebook.com/marketplace/item/1502504014631890/,nintendo wii (con accesorios incluidos),250,Consolas/Realidad Virtual,Nintendo,Consola,Nintendo,Usado (No especificado),Económico,San Juan De Miraflores
S/100,baterias para carros,"los olivos, lm",https://www.facebook.com/marketplace/item/1479544743747434/,baterias para carros,100,Energía y Adaptadores,Otro/Genérico,Bateria,Otro,Usado (No especificado),Económico,Los Olivos
S/80,"monitor aoc 24""","la molina, lm",https://www.facebook.com/marketplace/item/1624613865650366/,"monitor aoc 24""",80,Audífonos,Marshall,Audífonos de Diadema (Over-Ear),Monitor,Usado (No especificado),Económico,La Molina
S/5.500,laptop acer predator helios 16,"santa cruz de flores, lm",https://www.facebook.com/marketplace/item/1711427876300872/,laptop acer predator helios 16,5500,Laptops/PC,Acer,Laptop,Acer,Usado (No especificado),Premium,Santa Cruz De Flores
S/200,dap fiio m6 con detalle*,"san borja, lm",https://www.facebook.com/marketplace/item/1696324588443120/,dap fiio m6 con detalle*,200,Otros,Otro/Genérico,Genérico,No identificado,Usado (No especificado),Económico,San Borja
S/1.000,oled55b6p televisor,"rimac, lm",https://www.facebook.com/marketplace/item/1641058223995368/,oled55b6p televisor,1000,Televisores,Otro/Genérico,Televisor,Otro,Usado (No especificado),Estándar,Rimac
S/4.100,simulador mozza r9,"surquillo, lm",https://www.facebook.com/marketplace/item/918479167201053/,simulador mozza r9,4100,Consolas/Realidad Virtual,Otro/Genérico,Simulador,Otro,Usado (No especificado),Premium,Surquillo
S/100,se vende parlante segunda,"ventanilla, lima, peru",https://www.facebook.com/marketplace/item/4361904084135421/,se vende parlante segunda,100,Equipos de sonido,Otro/Genérico,Parlante,Otro,Usado (No especificado),Económico,Ventanilla
S/100,camara inalámbricas ezviz,"la molina, lm",https://www.facebook.com/marketplace/item/4260816854246403/,camara inalámbricas ezviz,100,Cámaras Fotográfica/Video,Otro/Genérico,Cámara,Otro,Usado (No especificado),Económico,La Molina
S/235,"🔋power bank bestia 100,000mah/65 watts |hoco - ¡carga hasta tu laptop! ⚡💻","rimac, lm",https://www.facebook.com/marketplace/item/1570108397638862/,"🔋power bank bestia 100,000mah/65 watts |hoco - ¡carga hasta tu laptop! ⚡💻",235,Laptops/PC,Otro/Genérico,Laptop,Otro,Usado (No especificado),Económico,Rimac
S/4.600,laptop alienware m17 r3 17.3 pulgadas,"san martín de porres, lm",https://www.facebook.com/marketplace/item/1890538158515785/,laptop alienware m17 r3 17.3 pulgadas,4600,Laptops/PC,Dell,Laptop,Alienware,Usado (No especificado),Premium,San Martín De Porres
S/65,walkie talkie radio pack 2 unds,"santa anita, lm",https://www.facebook.com/marketplace/item/2511024402593893/,walkie talkie radio pack 2 unds,65,Dispositivos de radio,Otro/Genérico,Walkie Talkie,Otro,Usado (No especificado),Económico,Santa Anita
S/3.600,pc gamer r7 + rtx 4060,"ventanilla, lima, peru",https://www.facebook.com/marketplace/item/904443522518800/,pc gamer r7 + rtx 4060,3600,Laptops/PC,Otro/Genérico,Computadora,Otro,Usado (No especificado),Premium,Ventanilla
S/150,computadora,"san juan de lurigancho, lm",https://www.facebook.com/marketplace/item/1195834809327616/,computadora,150,Laptops/PC,Otro/Genérico,Computadora,Otro,Usado (No especificado),Económico,San Juan De Lurigancho
S/60,cargador iphone original,"santiago de surco, lm",https://www.facebook.com/marketplace/item/1463919198716895/,cargador iphone original,60,Energía y Adaptadores,Otro/Genérico,Cargador,Otro,Usado (No especificado),Económico,Santiago De Surco
S/999,xboom sony mhc-v73d,"san juan de lurigancho, lm",https://www.facebook.com/marketplace/item/1811271676200162/,xboom sony mhc-v73d,999,Equipos de sonido,Sony,Sistema de sonido,Sony ULT Tower,Usado (No especificado),Estándar,San Juan De Lurigancho
S/80,📱 vendo calculadora casio fx-991lax,"pueblo libre, lm",https://www.facebook.com/marketplace/item/1237190978334882/,📱 vendo calculadora casio fx-991lax,80,Calculadoras,Casio,Calculadora,Casio,Usado (No especificado),Económico,Pueblo Libre
S/100,televisor 32 aoc,"lima, lm",https://www.facebook.com/marketplace/item/1915827425987855/,televisor 32 aoc,100,Televisores,Otro/Genérico,Televisor,Otro,Usado (No especificado),Económico,Lima Centro
S/10.950,sistema technics de 4 piezas en venta.,"chilca, lm",https://www.facebook.com/marketplace/item/4239371253005328/,sistema technics de 4 piezas en venta.,10950,Otros,Otro/Genérico,Genérico,No identificado,Usado (No especificado),Premium,Chilca
S/550,macbook pro 2012,"villa el salvador, lm",https://www.facebook.com/marketplace/item/1718365349156945/,macbook pro 2012,550,Laptops/PC,Apple,Laptop,MacBook Pro,Usado (No especificado),Económico,Villa El Salvador
S/150,mando razer kishi v2 para android,"los olivos, lm",https://www.facebook.com/marketplace/item/869320512568255/,mando razer kishi v2 para android,150,Consolas/Realidad Virtual,Otro/Genérico,Mando,Otro,Usado (No especificado),Económico,Los Olivos
S/750,cámara canon t4i - 650d - con detalles,"la victoria, lm",https://www.facebook.com/marketplace/item/769620466162332/,cámara canon t4i - 650d - con detalles,750,Cámaras Fotográfica/Video,Otro/Genérico,Cámara,Otro,Usado (No especificado),Económico,La Victoria
S/599,bticino videoportero intercomunicador de lujo vip,"san martín de porres, lm",https://www.facebook.com/marketplace/item/1520482442343717/,bticino videoportero intercomunicador de lujo vip,599,Otros,Otro/Genérico,Genérico,No identificado,Usado (No especificado),Económico,San Martín De Porres
S/950,monitor asus rog 2k,"san borja, lm",https://www.facebook.com/marketplace/item/1422303653011155/,monitor asus rog 2k,950,Componentes PC,Asus,Monitor,Asus,Usado (No especificado),Estándar,San Borja
S/100,vendo telefonos motorola vintage (startac y i833 pininfarina ),"san borja, lm",https://www.facebook.com/marketplace/item/4510303982539576/,vendo telefonos motorola vintage (startac y i833 pininfarina ),100,Dispositivos móviles,Motorola,Smartphone,Motorola,Usado (No especificado),Económico,San Borja
S/315,radios intercomunicadores uv21pro💥,"la victoria, lm",https://www.facebook.com/marketplace/item/3889415244525485/,radios intercomunicadores uv21pro💥,315,Equipos de sonido,Otro/Genérico,Radio,Otro,Usado (No especificado),Económico,La Victoria
S/220,laptop acer 4ta con cargador,"la victoria, lm",https://www.facebook.com/marketplace/item/881657550985440/,laptop acer 4ta con cargador,220,Laptops/PC,Acer,Laptop,Acer,Usado (No especificado),Económico,La Victoria
S/5.999,lenovo thinkpad p16 ai gen 2,"lurin, lm",https://www.facebook.com/marketplace/item/1512587656477384/,lenovo thinkpad p16 ai gen 2,5999,Laptops/PC,Lenovo,Laptop,ThinkPad,Usado (No especificado),Premium,Lurin
S/2.650,estabilizador (gimbal) dji rs 4 combo,"san isidro, lm",https://www.facebook.com/marketplace/item/1214617860281159/,estabilizador (gimbal) dji rs 4 combo,2650,Seguridad y Herramientas,Otro/Genérico,Estabilizador,Otro,Usado (No especificado),Estándar,San Isidro
S/129,parlante jvc 40 wats original,"el agustino, lm",https://www.facebook.com/marketplace/item/743232251915296/,parlante jvc 40 wats original,129,Equipos de sonido,Otro/Genérico,Parlante,Otro,Usado (No especificado),Económico,El Agustino
S/2.200,drone dji mini 3 pro+control rc pantalla+micro sd+maletin,"villa maría del triunfo, lm",https://www.facebook.com/marketplace/item/906313231746414/,drone dji mini 3 pro+control rc pantalla+micro sd+maletin,2200,Drones,DJI,Drone,DJI,Usado (No especificado),Estándar,Villa María Del Triunfo
S/2.000,se vende asus,"carabayllo, lm",https://www.facebook.com/marketplace/item/26819079964345395/,se vende asus,2000,Otros,Otro/Genérico,Genérico,No identificado,Usado (No especificado),Estándar,Carabayllo
S/160,tv. lg,"san juan de lurigancho, lm",https://www.facebook.com/marketplace/item/1773082906665284/,tv. lg,160,Televisores,Otro/Genérico,Televisor,Otro,Usado (No especificado),Económico,San Juan De Lurigancho
S/400,calculadora fx cg50 para bachillerato / casio graphing cg50,"santiago de surco, lm",https://www.facebook.com/marketplace/item/907068608462552/,calculadora fx cg50 para bachillerato / casio graphing cg50,400,Calculadoras,Otro/Genérico,Calculadora,Otro,Usado (No especificado),Económico,Santiago De Surco
S/820,core i7 8gb ram teclado y mouse gamer completo fornite,"villa maría del triunfo, lm",https://www.facebook.com/marketplace/item/1518463849244680/,core i7 8gb ram teclado y mouse gamer completo fornite,820,Componentes PC,Otro/Genérico,Teclado,Otro,Usado (No especificado),Estándar,Villa María Del Triunfo
S/129,camaras de seguridad,"san martín de porres, lm",https://www.facebook.com/marketplace/item/1434609554769478/,camaras de seguridad,129,Cámaras Fotográfica/Video,Otro/Genérico,Cámara,Otro,Usado (No especificado),Económico,San Martín De Porres
S/400,homepod mini,"san isidro, lm",https://www.facebook.com/marketplace/item/1437204444636027/,homepod mini,400,Parlantes inteligentes,Apple,Parlante inteligente,HomePod,Usado (No especificado),Económico,San Isidro
S/370,proyector smart magcubic modelo: l018,"surquillo, lm",https://www.facebook.com/marketplace/item/1193263273010550/,proyector smart magcubic modelo: l018,370,Componentes PC,Otro/Genérico,Proyector,Otro,Usado (No especificado),Económico,Surquillo
S/1.500,venta de maquina arcade multijuegos,"lima, lm",https://www.facebook.com/marketplace/item/1402728541529741/,venta de maquina arcade multijuegos,1500,Otros,Otro/Genérico,Genérico,No identificado,Usado (No especificado),Estándar,Lima Centro
S/150,asus dual gtx 4gb ddr5 leer descripción,callao,https://www.facebook.com/marketplace/item/1392134772005705/,asus dual gtx 4gb ddr5 leer descripción,150,Componentes PC,Otro/Genérico,Memoria Ram,Otro,Usado (No especificado),Económico,Callao
S/100,sonido lg 5.1,"chorrillos, lm",https://www.facebook.com/marketplace/item/2054716128774916/,sonido lg 5.1,100,Otros,Otro/Genérico,Genérico,No identificado,Usado (No especificado),Económico,Chorrillos
S/400,venta de electrodomésticos,"la molina, lm",https://www.facebook.com/marketplace/item/2095470201299422/,venta de electrodomésticos,400,Otros,Otro/Genérico,Genérico,No identificado,Usado (No especificado),Económico,La Molina
S/580,tablet redmi pad 2,"la molina, lm",https://www.facebook.com/marketplace/item/3293266734170916/,tablet redmi pad 2,580,Dispositivos móviles,Xiaomi,Tablet,Redmi Pad,Usado (No especificado),Económico,La Molina
S/380,computadora completa oferta,"comas, lm",https://www.facebook.com/marketplace/item/1599993434365914/,computadora completa oferta,380,Laptops/PC,Otro/Genérico,Computadora,Otro,Usado (No especificado),Económico,Comas
S/1.200,dos dep450 y dos ep450,"comas, lm",https://www.facebook.com/marketplace/item/1545810013307817/,dos dep450 y dos ep450,1200,Otros,Otro/Genérico,Genérico,No identificado,Usado (No especificado),Estándar,Comas
S/4.000,cámara nikon d850 en san miguel,"san miguel, lm",https://www.facebook.com/marketplace/item/1589286842105835/,cámara nikon d850 en san miguel,4000,Cámaras Fotográfica/Video,Nikon,Cámara,Nikon,Usado (No especificado),Premium,San Miguel
S/1.200,"playstation 5 (sin mando) precio fijo, leer bien el anuncio","san borja, lm",https://www.facebook.com/marketplace/item/32736471679300566/,"playstation 5 (sin mando) precio fijo, leer bien el anuncio",1200,Consolas/Realidad Virtual,Sony,Consola,PlayStation,Usado (No especificado),Estándar,San Borja
S/700,vendo o cambio 2ds xl 128gb por una swirch oled,"san martín de porres, lm",https://www.facebook.com/marketplace/item/1472242344910290/,vendo o cambio 2ds xl 128gb por una swirch oled,700,Otros,Otro/Genérico,Genérico,No identificado,Usado (No especificado),Económico,San Martín De Porres
S/850,tv lcd 65 lg,"lince, lm",https://www.facebook.com/marketplace/item/1243906560997391/,tv lcd 65 lg,850,Televisores,Otro/Genérico,Televisor,Otro,Usado (No especificado),Estándar,Lince
S/290,estoy vendiendo mi memoria ram ddr4 16gb 3600 corsair vengeance rgb rs cl18,"santiago de surco, lm",https://www.facebook.com/marketplace/item/2347715999080486/,estoy vendiendo mi memoria ram ddr4 16gb 3600 corsair vengeance rgb rs cl18,290,Componentes PC,Otro/Genérico,Memoria Ram,Otro,Usado (No especificado),Económico,Santiago De Surco
S/215,tv box s 4k xiaomi 3ra gen,"lima, lm",https://www.facebook.com/marketplace/item/868540176091198/,tv box s 4k xiaomi 3ra gen,215,Dispositivos móviles,Xiaomi,Smartphone,Xiaomi,Usado (No especificado),Económico,Lima Centro
S/1.900,maquina arcade de mario bros,callao,https://www.facebook.com/marketplace/item/1459708592494846/,maquina arcade de mario bros,1900,Otros,Otro/Genérico,Genérico,No identificado,Usado (No especificado),Estándar,Callao
S/190,equipo de sonido de segunda mano,"lurin, lm",https://www.facebook.com/marketplace/item/924017566730928/,equipo de sonido de segunda mano,190,Equipos de sonido,Otro/Genérico,Equipo de sonido,Otro,Usado (No especificado),Económico,Lurin
S/350,radio dep 450 uhf completa,"san isidro, lm",https://www.facebook.com/marketplace/item/1422551192654456/,radio dep 450 uhf completa,350,Equipos de sonido,Otro/Genérico,Radio,Otro,Usado (No especificado),Económico,San Isidro
S/350,iphone como tablet,"villa maría del triunfo, lm",https://www.facebook.com/marketplace/item/25644560678506283/,iphone como tablet,350,Dispositivos móviles,Apple,Smartphone,iPhone,Usado (No especificado),Económico,Villa María Del Triunfo
S/3.350,ipad pro 11” chip m4 256gb,"santiago de surco, lm",https://www.facebook.com/marketplace/item/906035831860989/,ipad pro 11” chip m4 256gb,3350,Dispositivos móviles,Apple,Tablet,iPad Pro,Usado (No especificado),Estándar,Santiago De Surco
S/90,arcade stick play station 1 y adaptador play station 3,"surquillo, lm",https://www.facebook.com/marketplace/item/871770162328927/,arcade stick play station 1 y adaptador play station 3,90,Energía y Adaptadores,Otro/Genérico,Adaptador,Otro,Usado (No especificado),Económico,Surquillo
S/9.000,pc gama alta,"san juan de lurigancho, lm",https://www.facebook.com/marketplace/item/1251580457070935/,pc gama alta,9000,Laptops/PC,Otro/Genérico,Computadora,Otro,Usado (No especificado),Premium,San Juan De Lurigancho
S/1.050,audífonos sennheiser momentum 4 | edición especial | white & grey,"villa maría del triunfo, lm",https://www.facebook.com/marketplace/item/2121278078692426/,audífonos sennheiser momentum 4 | edición especial | white & grey,1050,Audífonos,Otro/Genérico,Audífonos,Otro,Usado (No especificado),Estándar,Villa María Del Triunfo
S/160,radio sanyo m-9835k boombox,"san juan de lurigancho, lm",https://www.facebook.com/marketplace/item/928736682926520/,radio sanyo m-9835k boombox,160,Equipos de sonido,Otro/Genérico,Radio,Otro,Usado (No especificado),Económico,San Juan De Lurigancho
S/3.099,"ipad pro m4 de 11"" en color negro espacial","chaclacayo, lm",https://www.facebook.com/marketplace/item/1423719415806006/,"ipad pro m4 de 11"" en color negro espacial",3099,Dispositivos móviles,Apple,Tablet,iPad Pro,Usado (No especificado),Estándar,Chaclacayo
S/950,ps4 pro con garantía de 1 año✅🎮,"villa el salvador, lm",https://www.facebook.com/marketplace/item/1097655669062009/,ps4 pro con garantía de 1 año✅🎮,950,Consolas/Realidad Virtual,Sony,Consola,PS4,Usado (No especificado),Estándar,Villa El Salvador
S/800,cámara profesional nikon d5100,"san juan de miraflores, lm",https://www.facebook.com/marketplace/item/1654700742757418/,cámara profesional nikon d5100,800,Cámaras Fotográfica/Video,Otro/Genérico,Cámara,Otro,Usado (No especificado),Económico,San Juan De Miraflores
S/79,pos culqi,"villa maría del triunfo, lm",https://www.facebook.com/marketplace/item/33804217672496734/,pos culqi,79,POS,Culqi,POS,Culqi,Usado (No especificado),Económico,Villa María Del Triunfo
S/800,se vende play 4 salón,"san juan de lurigancho, lm",https://www.facebook.com/marketplace/item/1216687907262022/,se vende play 4 salón,800,Consolas/Realidad Virtual,Sony,Consola,PlayStation,Usado (No especificado),Económico,San Juan De Lurigancho
S/410,nintendo 3ds .cargador+3 juegos ds. leer descripción .,"los olivos, lm",https://www.facebook.com/marketplace/item/1863145304592821/,nintendo 3ds .cargador+3 juegos ds. leer descripción .,410,Consolas/Realidad Virtual,Nintendo,Consola,Nintendo,Usado (No especificado),Económico,Los Olivos
S/800,altavoz marshall acton iii - remato o cambio ¡!!!!¡!!!! 😱😱😱,"chorrillos, lm",https://www.facebook.com/marketplace/item/1421823922725785/,altavoz marshall acton iii - remato o cambio ¡!!!!¡!!!! 😱😱😱,800,Equipos de sonido,Otro/Genérico,Altavoz,Otro,Usado (No especificado),Económico,Chorrillos
S/130,remato laptop hp,"lurigancho, lm",https://www.facebook.com/marketplace/item/1985951921961332/,remato laptop hp,130,Laptops/PC,HP,Laptop,HP,Usado (No especificado),Económico,Lurigancho
S/900,con detalleem el estabilizador!! drone dji mavic pro,"lima, lm",https://www.facebook.com/marketplace/item/2575552139505280/,con detalleem el estabilizador!! drone dji mavic pro,900,Seguridad y Herramientas,Otro/Genérico,Estabilizador,Otro,Usado (No especificado),Estándar,Lima Centro
S/5.890,sony a7iii + carl zeiss 24-70 f4,"la victoria, lm",https://www.facebook.com/marketplace/item/753712251117811/,sony a7iii + carl zeiss 24-70 f4,5890,Equipos de sonido,Sony,Sistema de sonido,Sony ULT Tower,Usado (No especificado),Premium,La Victoria
S/100,impresora hp deskjet ink advantage ultra,"santiago de surco, lm",https://www.facebook.com/marketplace/item/1239693041446235/,impresora hp deskjet ink advantage ultra,100,Impresora/Escáner,HP,Impresora,HP,Usado (No especificado),Económico,Santiago De Surco
S/2.250,videocamara sony 4k ax40,"lima, lm",https://www.facebook.com/marketplace/item/871238279166528/,videocamara sony 4k ax40,2250,Cámaras Fotográfica/Video,Otro/Genérico,Cámara,Otro,Usado (No especificado),Estándar,Lima Centro
S/200,"vendo mis drivers 7 power, como nuevo","ate, lm",https://www.facebook.com/marketplace/item/2103510490434281/,"vendo mis drivers 7 power, como nuevo",200,Otros,Otro/Genérico,Genérico,No identificado,Nuevo/Sellado,Económico,Ate
S/150,"lurigancho, lm",no especificada,https://www.facebook.com/marketplace/item/1591969398507675/,"lurigancho, lm",150,Otros,Otro/Genérico,Genérico,No identificado,Usado (No especificado),Económico,Lima (Global)
S/800,vendo laptop￼,"pachacamac, lm",https://www.facebook.com/marketplace/item/1237887631608477/,vendo laptop￼,800,Laptops/PC,Otro/Genérico,Laptop,Otro,Usado (No especificado),Económico,Pachacamac
